athlete_id,name_slug,season,season_label,team_id,team,conference,name,position,games,starts,minutes,points,turnovers,fouls,assists,steals,blocks,usage,offensive_rating,defensive_rating,net_rating,porpag,effective_field_goal_pct,true_shooting_pct,assists_turnover_ratio,free_throw_rate,offensive_rebound_pct,fg_pct,fg_attempted,fg_made,two_pt_fg_pct,two_pt_fg_attempted,two_pt_fg_made,three_pt_fg_pct,three_pt_fg_attempted,three_pt_fg_made,ft_pct,ft_attempted,ft_made,rebounds_total,rebounds_defensive,rebounds_offensive,win_shares_total_per40,win_shares_total,win_shares_defensive,win_shares_offensive,hometown_state,hometown_city,start_season,end_season,age,height_inches,weight_lbs,draft_year,draft_round,overall_pick,total_games,total_minutes,total_vorp,total_ws,career_bpm,standard_error
198382,ajdybantsa,2026,20252026,18,BYU,Big 12,AJ Dybantsa,F,35,35,1208,894,108,43,130,37,11,34,122.2,109.8,12.4,6.6,55,0.609,1.2,49,21.3,51,604,308,56.8,456,259,33.1,148,49,77.4,296,229,239,188,51,0.222,6.7,0.9,5.8,MA,Brockton,2026.0,2026.0,19.0,81.0,217.0,2026,1,1,,,,,,
199883,darrynpeterson,2026,20252026,131,Kansas,Big 12,Darryn Peterson,G,24,23,697,484,38,37,38,34,15,33.5,117.4,102.7,14.7,4.7,52.7,0.584,1,37.1,16.8,43.8,356,156,48.7,191,93,38.2,165,63,82.6,132,109,101,84,17,0.201,3.5,1,2.5,OH,Canton,2026.0,2026.0,19.0,78.0,205.0,2026,1,2,,,,,,
198977,cameronboozer,2026,20252026,72,Duke,ACC,Cameron Boozer,F,38,38,1274,855,96,65,152,54,23,29.8,134.8,91.9,42.9,7.7,60.7,0.663,1.58,53.6,32.9,55.6,522,290,61.5,384,236,39.1,138,54,78.9,280,221,389,261,128,0.333,10.6,3.1,7.5,FL,Miami,2026.0,2026.0,19.0,81.0,250.0,2026,1,3,,,,,,
200988,calebwilson,2026,20252026,200,North Carolina,ACC,Caleb Wilson,F,24,24,755,478,47,46,64,36,33,28.1,127.8,95.6,32.2,5.8,59,0.636,1.36,61.1,30.1,57.8,296,171,61,269,164,25.9,27,7,71.3,181,129,226,158,68,0.27,5.1,1.6,3.5,GA,Atlanta,2026.0,2026.0,20.0,82.0,215.0,2026,1,4,,,,,,
199686,keatonwagler,2026,20252026,118,Illinois,Big Ten,Keaton Wagler,G,37,37,1257,663,66,73,157,34,14,25,134,108.5,25.5,6.4,54.1,0.604,2.38,47.6,37.8,44.5,454,202,48.9,235,115,39.7,219,87,79.6,216,172,188,117,71,0.239,7.5,1.1,6.4,KS,Shawnee,2026.0,2026.0,19.0,78.0,180.0,2026,1,5,,,,,,
198012,dariusacuffjr,2026,20252026,12,Arkansas,SEC,Darius Acuff Jr.,G,36,36,1269,845,78,59,231,30,11,29.3,129.1,115.9,13.2,6.9,56.1,0.611,2.96,37,15.3,48.4,595,288,50.8,388,197,44,207,91,80.9,220,178,111,94,17,0.211,6.7,0.3,6.4,MI,Detroit,2026.0,2026.0,19.0,75.0,190.0,2026,1,6,,,,,,
199596,kingstonflemings,2026,20252026,113,Houston,Big 12,Kingston Flemings,G,37,37,1171,594,66,74,192,56,12,26.1,123.7,95.8,27.9,4.8,52,0.568,2.91,27.7,12.7,47.6,466,222,50.3,360,181,38.7,106,41,84.5,129,109,150,131,19,0.236,6.9,2.4,4.5,TX,San Antonio,2026.0,2026.0,19.0,76.0,190.0,2026,1,7,,,,,,
535,adaymara,2026,20252026,170,Michigan,Big Ten,Aday Mara,C,40,39,928,483,78,86,97,14,100,23.1,122.2,92.8,29.4,3,67.7,0.671,1.24,46.2,28.3,67.2,299,201,68.5,289,198,30,10,3,56.5,138,78,269,193,76,0.228,5.3,2.2,3.1,ESP,Zaragoza,2026.0,2026.0,21.0,87.0,255.0,2026,1,8,,,,,,
200182,mikelbrownjr,2026,20252026,150,Louisville,ACC,Mikel Brown Jr.,G,21,19,613,382,65,33,99,26,3,30.6,116,101.8,14.2,4.1,51.1,0.585,1.52,44.7,1.4,41,273,112,50.4,113,57,34.4,160,55,84.4,122,103,70,69,1,0.196,3,0.9,2.1,FL,Orlando,2026.0,2026.0,20.0,77.0,190.0,2026,1,9,,,,,,
202445,nateament,2026,20252026,292,Tennessee,SEC,Nate Ament,F,35,35,1038,584,79,69,82,34,22,28.9,117.6,101.7,15.9,4.1,45.2,0.543,1.04,57.8,27.5,39.9,429,171,43,291,125,33.3,138,46,79,248,196,222,161,61,0.193,5,1.6,3.4,VA,Manassas,2026.0,2026.0,19.0,82.0,207.0,2026,1,10,,,,,,
197982,braydenburries,2026,20252026,11,Arizona,Big 12,Brayden Burries,G,39,39,1160,626,58,81,94,58,7,23.2,128.7,96.4,32.3,4.6,57.2,0.623,1.62,39.5,11.5,49.1,428,210,56.2,249,140,39.1,179,70,80.5,169,136,192,170,22,0.231,6.7,2.4,4.3,CA,San Bernardino,2026.0,2026.0,21.0,76.0,205.0,2026,1,11,,,,,,
3951,yaxellendeborg,2026,20252026,170,Michigan,Big Ten,Yaxel Lendeborg,F,40,39,1210,603,42,68,128,45,47,20.3,141,96.2,44.8,5.4,60.3,0.656,3.05,42.6,27.7,51.7,387,200,63.9,208,133,37.4,179,67,82.4,165,136,271,196,75,0.264,8,2.5,5.5,NJ,Pennsauken,2026.0,2026.0,24.0,81.0,240.0,2026,1,12,,,,,,
85,labaronphilonjr,2026,20252026,5,Alabama,SEC,Labaron Philon Jr.,G,33,32,1020,725,84,52,165,38,6,30.1,127.4,114.3,13.1,6,58.5,0.634,1.96,40.8,16.2,50.1,485,243,57.4,282,162,39.9,203,81,79.8,198,158,117,98,19,0.212,5.4,0.4,5,AL,Mobile,2025.0,2026.0,20.0,76.0,185.0,2026,1,13,,,,,,
309,cameroncarr,2026,20252026,20,Baylor,Big 12,Cameron Carr,G,34,34,1146,642,81,64,90,30,45,25.3,123.3,109.1,14.2,5,58.2,0.629,1.11,38,11.2,49.4,437,216,60.2,231,139,37.4,206,77,80.1,166,133,197,175,22,0.175,5,1,4,MN,Eden Prairie,2026.0,2026.0,21.0,77.0,175.0,2026,1,15,,,,,,
